corpus,model,normalization,topic01,topic02,topic03,topic04,topic05,topic06,topic07,topic08,topic09,topic10
Locomotive,WNTM,stem,fals local project true imag ,site locomot host domain file ,error file persist imag fail ,div channel select format display ,site wagon engin creat locomot ,set call api email token ,gem rail bundl develop group ,assign var url endfor withscop ,librubygem push block appweb alpha ,work version issu engin instal 
Locomotive,LDA,stem,send email form url api ,push error cach issu method ,work div true local captur ,site locomot creat domain add ,wagon version engin instal local ,content type edit entri post ,gem rail librubygem requir steam ,liquid code tag locomot render ,file imag upload asset error ,work good question time thing 
SpringSecurity,BTM,stem,project input work spring secur ,null debug info request public ,nio exec debug andexpect cci ,spring secur issu version project ,user modul permiss releas releasejar ,return public user string privat ,user token authent session server ,public void throw except class ,oauth token client secur spring ,spring secur authent request work 
SpringSecurity,DMM,stem,token server client request authent ,oauth token secur spring client ,method user bean secur implement ,authent request null user filter ,spring secur boot oauth work ,public void throw except class ,filter secur spring login request ,user authent session spring secur ,work issu sampl code problem ,secur key file properti url 
SpringSecurity,GPU-PDMM,stem,releas releasejar secur user request ,spring secur boot configur applic ,public return except class throw ,work question code problem good ,user authent password implement role ,configur bean set default properti ,issu sampl work project releas ,method test secur access call ,request login filter session authent ,token oauth server client request 
SpringSecurity,WNTM,stem,spring secur boot oauth applic ,bean creat properti error file ,request url header respons post ,method filter secur implement custom ,login session user redirect log ,public throw void except class ,token server oauth client resourc ,null debug authent princip credenti ,releas issu project releasejar version ,user password string usernam return 
SpringSecurity,LDA,stem,token oauth server client resourc ,spring secur boot oauth work ,filter secur request authent spring ,user authent secur check spring ,request authent null error debug ,public class return throw except ,bean configur method properti default ,issu sampl work releas project ,password user role usernam work ,login session redirect user app 
Flutter,BTM,stem,widget state call list app ,child widget return context class ,class dart librari widget method ,string return await final async ,android flutter version build devic ,error fail build eflutt file ,flutter app work code dart ,export devic copi exclud flutter ,flutter asset font option depend ,iflutt widget except thrown size 
Flutter,DMM,stem,flutter work dart good code ,flutter app android work io ,return string type await final ,flutter app plugin work code ,flutter version android file error ,iflutt error build eflutt except ,widget screen text scroll list ,widget imag flutter class dart ,widget state call method build ,child widget return context class 
Flutter,GPU-PDMM,stem,iflutt widget eflutt child return ,widget child text color contain ,work code issu time thing ,flutter dart app plugin nativ ,return context string type final ,error file packag depend code ,list screen button anim item ,flutter android app build io ,app imag data user firebas ,widget call state class method 
Flutter,WNTM,stem,build error fail project export ,children color child contain const ,dart call method state librari ,screen list app button item ,return titl appbar scaffold key ,iflutt except thrown asynchron eflutt ,flutter android version devic sdk ,await string var async return ,file flutter error packag asset ,flutter app work dart plugin 
Flutter,LDA,stem,file error flutter project build ,flutter android app work devic ,data imag user await async ,widget iflutt text scroll size ,flutter version issu packag dart ,flutter app code work dart ,class type dart error string ,child widget return context class ,widget state call build chang ,work good flutter time code 
GitterHQ,BTM,stem,width div display height button ,function error code file work ,var final true function amount ,error npm warn git err ,var function return user re ,def backetlist jlabel return break ,work code develop learn app ,div input form button html ,int string public number static ,error java class symbol packag 
GitterHQ,DMM,stem,function code call array object ,work css html imag code ,error code import file work ,learn develop languag work java ,work develop creat account token ,file data api work server ,var return string function int ,question code room good problem ,git instal file work window ,div var error user input 
GitterHQ,GPU-PDMM,stem,div error var return public ,function return var string array ,file instal error server version ,data user api creat send ,git repo branch commit push ,code work problem error link ,html css div button imag ,question room good answer peopl ,learn languag program java good ,develop work project app web 
GitterHQ,WNTM,stem,function data code type array ,var true return function fals ,string int public number static ,user messag send creat post ,learn code languag framework program ,server file web applic request ,div button input form press ,width style column imag element ,git error npm instal file ,develop project time peopl start 
GitterHQ,LDA,stem,learn languag javascript java app ,div button html imag css ,room gitter chat messag send ,function return object call code ,git file work window code ,question code answer problem good ,data server user api databas ,develop project work good learn ,error instal file work npm ,var return string number function 
Laravel,BTM,stem,function return presfdump var len ,div input option label php ,tabl user null return model ,laravel work user file php ,jan nodej vladimir turckheim server ,public function return class array ,return function user request public ,npm instal error err php ,sep len kernel mythicaurora src ,server upstream request header locat 
Laravel,DMM,stem,laravel work good php question ,queri model return array work ,div input array form data ,rout method control class function ,user request laravel api token ,function return public user request ,php error file work artisan ,file instal laravel work compos ,tabl user model column creat ,function return error php npm 
Laravel,GPU-PDMM,stem,div function return user input ,php instal server artisan compos ,file folder imag chang path ,laravel packag project app work ,error messag valid email password ,work problem code issu question ,tabl model user queri databas ,user rout request post middlewar ,return function public class method ,test time job event queue 
Laravel,WNTM,stem,tabl user column select model ,model method data return queri ,error npm err fail except ,php artisan command server run ,div input option label span ,null array email messag password ,laravel work project app good ,file instal compos work laravel ,return function user request extend ,user request rout token post 
Laravel,LDA,stem,tabl model user queri column ,php error artisan command run ,array data return error string ,function return public user php ,work problem question time good ,file work laravel folder set ,instal div compos laravel packag ,laravel good work project php ,rout method control class model ,user request token laravel api 
