number,chat_room,theme,number_docs,processing_time,model,topic01,topic02,topic03,ca,cp,npmi,umass
29,ConsenSys/truffle,Integrated development environment; Blockchain,"62,678","59,227",LDA,truffle npm work version test issue file error install code ,truffle network contract deploy error gas test migration transaction migrate ,contract function return test call address web error var event ,0.34443084,-0.100765251,-0.07527175,-3.250145859
30,ConsenSys/truffle,Integrated development environment; Blockchain,"62,678",1647678,PTM,truffle test contract work issue file version code error problem ,network error gas deploy truffle transaction contract account migration geth ,function contract return address call web var error test uint ,0.281572352,-0.091085218,-0.060278201,-3.909350851
31,cypress-io/cypress,Software testing,"82,216","50,062,293",GPU-PDMM,cypress test work file error command run request fail open ,issue time app click problem wait thing question start user ,element code function call return url find add write response ,0.477752525,0.103301043,-0.001105835,-2.037213482
32,cypress-io/cypress,Software testing,"82,216","66,053",LDA,test cypress issue work app open code time thing browser ,element test cypress command function click return work request wait ,cypress test file error run work fail chrome browser issue ,0.288765534,0.022172533,-0.055677737,-2.949916019
33,cypress-io/cypress,Software testing,"82,216",2140731,PTM,test cypress work issue code open thing time app problem ,element request function return command call click wait test url ,cypress test file error run chrome browser fail npm work ,0.286745333,-0.011765691,-0.048092848,-3.554589567
34,DefinitelyTyped/DefinitelyTyped,Software maintenance,"1,612","959,474",GPU-PDMM,type error import test package project npm issue version object ,export module interface function string class declare question pull request ,file definition typing work typescript dts library write reference update ,0.30477441,0.00885173,-0.04642292,-3.317539651
35,DefinitelyTyped/DefinitelyTyped,Software maintenance,"1,612","1,343",LDA,type file typing definition package npm test version error project ,type error work issue test argument reference require generic problem ,export import module type interface string object definition function declare ,0.442641171,0.192120092,0.013312131,-2.637919878
36,DefinitelyTyped/DefinitelyTyped,Software maintenance,"1,612",37305,PTM,export import module interface declare class function default requireableany string ,type error object number return string argument jquery require generic ,file type definition typing test work package npm project typescript ,0.244836295,0.06320782,-0.024528672,-3.511258135
37,Elsevier Core Engineering/replicator,Cloud computing,"1,249","574,257",GPU-PDMM,scale replicator nomad cluster run debug instance error worker pool ,job work group deployment time update start system drain week ,node config asg meta log consul client key configuration issue ,0.172728945,-0.100478926,-0.094571193,-3.93829088
38,Elsevier Core Engineering/replicator,Cloud computing,"1,249",739,LDA,scale node job cluster debug config worker pool consul meta ,work time good week aws add raise great issue move ,replicator job scale nomad run error deployment node instance group ,0.228305198,-0.171243216,-0.101264293,-3.595100301
39,Elsevier Core Engineering/replicator,Cloud computing,"1,249",22205,PTM,nomad node work replicator config meta time client issue instance ,scale job replicator cluster run group debug error worker pool ,job update good add code check move scale problem aws ,0.207617941,-0.071029796,-0.078394504,-3.260495627
40,expressjs/express,Web development,"18,864","11,172,529",GPU-PDMM,route request error var work user code function middleware return ,server node api good create client time thing project write ,express app file question set res module start path static ,0.28740333,0.117195721,-0.016069183,-2.667922237
41,expressjs/express,Web development,"18,864","19,839",LDA,express app node work good code server project question start ,request route file express middleware user server call work send ,var function error return res user re express router req ,0.327971868,0.027540449,-0.031028024,-3.486018284
42,expressjs/express,Web development,"18,864",452250,PTM,route request middleware error call user post object send response ,var function res return re express req err user functionreq ,express app work server file node good code question thing ,0.262104361,0.004546649,-0.036676974,-3.22435102
43,facebook/flow,Code quality; Web development,"1,741","1,201,689",GPU-PDMM,function error object work property prop class issue import flowtype ,type flow code component generic var void pass test argument ,string return file number export foo definition declare state const ,0.230414521,0.155792309,0.000472706,-2.812508927
44,facebook/flow,Code quality; Web development,"1,741","1,608",LDA,flow type file work issue code error definition add import ,type function object string prop property class declare return number ,type error return function flow string quit case flowtype object ,0.399080515,0.124610521,0.019702369,-2.172354587
45,facebook/flow,Code quality; Web development,"1,741",61112,PTM,flow type file work code issue definition error react question ,property type prop object quit flowtype miss undefined null join ,type function string error return object class export number declare ,0.298019297,0.062753624,-0.00181203,-2.5352989
46,FreeCodeCamp/HelpBackEnd,Back-end; Coding,"122,406","55,284,138",GPU-PDMM,work file code error app npm user project err server ,sparkle send point brownie heroku test git push command script ,var function return url call datum find data read callback ,0.205614185,-0.089863135,-0.084575083,-5.578182517
47,FreeCodeCamp/HelpBackEnd,Back-end; Coding,"122,406","90,217",LDA,work project app file code heroku start react good node ,sparkle point send brownie cookie star div appweb work good ,var function return error err user url request npm code ,0.193423796,-0.107659412,-0.066450223,-5.037571033
48,FreeCodeCamp/HelpBackEnd,Back-end; Coding,"122,406",2252087,PTM,var err return function npm error url res true user ,sparkle point send brownie star good cookie project work learn ,work file code error app server user create heroku request ,0.284775991,-0.009162655,-0.045823077,-4.526132278
49,FreeCodeCamp/Contributors,Coding,"34,835","21,598,934",GPU-PDMM,issue npm error challenge test code merge guide time freecodecamp ,sparkle point send brownie link good open project question people ,work file fcc branch add git commit update thing pull,0.240566454,-0.043422546,-0.06350653,-2.861576365
50,FreeCodeCamp/Contributors,Coding,"34,835","35,800",LDA,challenge issue test file work branch merge code commit git ,sparkle issue point send brownie work good guide time open ,npm error err cookie node seed install run freecodecamp start ,0.287635511,-0.053153464,-0.05127184,-2.939272055
51,FreeCodeCamp/Contributors,Coding,"34,835",830145,PTM,sparkle send point brownie branch cookie git commit master push ,issue work challenge test guide code fcc open time merge ,npm error err node seed install run file echo start ,0.207271145,-0.128407652,-0.089654136,-3.395406117
52,FreeCodeCamp/DataScience,[Machine learning] Libraries; [Machine learning] System,"15,102","11,516,537",GPU-PDMM,data sparkle work project point good send science brownie fcc ,datum time code find question link interesting interested problem analysis ,people learn thing python learning lot check read room bit,0.262669706,-0.006704987,-0.044681879,-4.103275689
53,FreeCodeCamp/DataScience,[Machine learning] Libraries; [Machine learning] System,"15,102","17,398",LDA,data datum people project work science fcc learn good room ,datum code file work problem time python data find good ,sparkle point send brownie cookie star evaristoc bonfire user cool ,0.308986827,-0.049856716,-0.065514074,-2.566860838
54,FreeCodeCamp/DataScience,[Machine learning] Libraries; [Machine learning] System,"15,102",458321,PTM,data good science learn datum work python start link thing ,sparkle point send brownie cookie star evaristoc nan erictleung warning ,datum project people work fcc room analysis file problem code ,0.263296941,-0.064047808,-0.063816212,-2.776085441
55,FreeCodeCamp/testable-projects-fcc,Coding,210,"108,186",GPU-PDMM,travis work build puppeteer repo stuart tracey git docker issue ,test project fail locally pass good server problem beta personal ,link cdn correct code codepen late create version step update,0.206044238,-0.168584452,-0.068265512,-3.690722739
56,FreeCodeCamp/testable-projects-fcc,Coding,210,147,LDA,link cdn code bundle correct codepen late version create step ,test work build travis project fail locally pass good issue ,size stuart set unknown error devshm delete crash increase window ,0.247112417,-0.051230435,-0.02265113,-1.936006926
57,FreeCodeCamp/testable-projects-fcc,Coding,210,3681,PTM,test build travis fail locally pass issue server size problem ,work project tracey bundle good repo npm codepen understand version ,link cdn code correct late update fcc bundlejs editor commit ,0.135875332,-0.164248181,-0.065704176,-3.245455396
58,flutter/flutter,Multi-platform development,"182,853","94,161,158",GPU-PDMM,widget child error build return class call list add image ,flutter app android file create plugin ios version project package ,work code dart issue time thing good question find start ,0.469438752,0.131203079,0.004333555,-2.238591045
59,flutter/flutter,Multi-platform development,"182,853","138,475",LDA,flutter app work code dart good thing time question issue ,flutter android error file build version app work project ios ,widget child return class call context text list iflutter color ,0.421989857,0.01768512,-0.032461336,-2.259489515
60,flutter/flutter,Multi-platform development,"182,853",1.61E+07,PTM,flutter app android work code dart file error build plugin ,child return widget class iflutter context final string extend color ,widget call list work screen state change image text create ,0.37830393,-0.008956031,-0.034557114,-2.519506257
61,BinaryMuse/fluxxor,Patterns; Web development,"2,707","1,939,810",GPU-PDMM,flux component dispatch fluxxor call state work datum react event ,function thing var code render route return method create issue ,store action view change update user case api async handle ,0.279775301,-0.04763953,-0.03785417,-2.654571985
62,BinaryMuse/fluxxor,Patterns; Web development,"2,707","2,756",LDA,flux function store var object component pass action route return ,store action dispatch component datum call state event data view ,fluxxor flux work good react thing code question app problem ,0.313525343,-0.021644674,-0.03271402,-2.131031398
63,BinaryMuse/fluxxor,Patterns; Web development,"2,707",81916,PTM,flux fluxxor work component react app code good question thing ,store action dispatch call state datum component event view data ,function var object route return flux check pass fluxmixin error ,0.224836892,-0.008146864,-0.030163352,-2.219876083
64,ga4gh/server,Coding; Application programming interface,221,"124,162",GPU-PDMM,file server work error git issue version master branch case ,reference set vcf support access vcfs callset referenceset store variant ,call test sequence add python module exception schema thing graph ,0.206763541,0.066008821,-0.008405096,-2.56159924
65,ga4gh/server,Coding; Application programming interface,221,172,LDA,work version sequence master branch develop docker fine github question ,file server error git case reference time user add issue ,reference set vcf file test generate referenceset issue point search ,0.280837296,-0.025184227,-0.046512674,-2.808197093
66,ga4gh/server,Coding; Application programming interface,221,4400,PTM,git sequence call case test add time api vcfs python ,work version master branch develop docker fine github server question ,file reference set vcf server error issue support user generate ,0.317665833,0.046949044,-0.045074763,-3.513010305
67,piskvorky/gensim,[Machine learning] Libraries,"1,743","1,299,295",GPU-PDMM,model word vector document doc work file vec topic list ,text python time test find small add version import size ,gensim corpus train training code good issue similarity large fasttext ,0.344823904,-0.031969115,-0.027650537,-2.250280199
68,piskvorky/gensim,[Machine learning] Libraries,"1,743","1,984",LDA,gensim topic work code model good tutorial time list add ,model vector document word doc corpus train training vec text ,file python gensim word test error vec model import work ,0.300235921,-0.117620531,-0.057374168,-2.988104506
69,piskvorky/gensim,[Machine learning] Libraries,"1,743",62748,PTM,file python word test gensim import error version vecpy core ,model vector word train training vec set fasttext load case ,document doc corpus gensim work text time topic good issue ,0.219754768,-0.012536755,-0.027334817,-1.861255683
70,gitlabhq/gitlabhq,Software maintenance; Version control,"17,338","11,972,905",GPU-PDMM,work runner build docker file job set image fail test ,gitlab server git repo install run version repository update host ,project issue error create user push branch problem merge request ,0.332748226,0.026168745,-0.019168003,-2.285590322
71,gitlabhq/gitlabhq,Software maintenance; Version control,"17,338","15,879",LDA,build docker runner job image gitlab file error test script ,gitlab server error work install problem omnibus set user run ,gitlab project issue branch merge create work commit repo request ,0.351513532,-0.154420699,-0.041711447,-2.224194355
72,gitlabhq/gitlabhq,Software maintenance; Version control,"17,338",449071,PTM,gitlab project issue work create branch push repo merge request ,build job docker image script test stage cache variable runner ,gitlab error runner server work docker set run install host ,0.271324305,-0.1795437,-0.066422135,-3.092495173
73,gitterHQ/developers,Coding,"41,983","20,673,712",GPU-PDMM,code work question error learn file good project problem app ,web developer return git var api build number day install ,function create html add website css write change call class ,0.334897318,0.085498283,-0.02538632,-2.331809216
74,gitterHQ/developers,Coding,"41,983","33,238",LDA,function code return div var class button work input string ,question learn code work good project language developer thing start ,file error work code server app create git user problem ,0.397058744,0.197437134,0.027223274,-2.629092726
75,gitterHQ/developers,Coding,"41,983",866971,PTM,function return div var class string code input button array ,question work code learn good project thing start language developer ,file code work error create server user git problem issue ,0.421335696,0.221768901,0.032337475,-2.736062884
76,ethereum/go-ethereum,Blockchain,"129,848","62,131,972",GPU-PDMM,geth block node transaction sync start account address network gas ,contract error code call web function file question return change ,work ethereum issue test client thing version good build update ,0.450047662,-0.000127634,0.010388386,-1.806668643
77,ethereum/go-ethereum,Blockchain,"129,848","108,087",LDA,contract transaction address ethereum gas account function ether call code ,block sync node geth transaction chain peer time fast network ,geth node unstable console rpc error work version file start ,0.241100907,-0.050758715,-0.026112586,-2.022296516
78,ethereum/go-ethereum,Blockchain,"129,848",2666280,PTM,geth node block sync start work network time fast run ,contract transaction account address gas ethereum ether code send call ,geth block unstable tarbz import info hash txs error function ,0.260666103,-0.119615543,-0.011115322,-1.604630358
79,gushphp/gush,Software testing; Containers,113,"37,339",GPU-PDMM,git jira readme username clone oauth shebang gitter browser osx ,work bin gush github php user execute skype vagrant website ,gush good branch push invitation remote fetch gushphar nice job ,0.085134438,-0.456619319,-0.117928286,-7.919389649
80,gushphp/gush,Software testing; Containers,113,51,LDA,gush git merge branch add master skype instance pcreate command ,nice good work invitation remote include job cordoval fetch push ,user gushphar bin checkout file browser thing php directory shebang ,0.123279792,-0.125082055,-0.086342598,-3.483092945
81,gushphp/gush,Software testing; Containers,113,1122,PTM,gush include master fetch flow origin pierredup pmerge dev catch ,git nice good merge work invitation branch remote push job ,user gushphar bin file browser gitter thing php directory shebang ,0.143852237,-0.160166948,-0.092167766,-3.857541004
82,hopelessoptimism/data-engineering-101,Big data; Workshop,29,"27,107",GPU-PDMM,tool distribution pinball luigi datum request create material workflow cool ,file libpython repository csr folder filename arrays github repo excel ,case tho framework solution workshop great pandas forked time thing ,0.029171813,-0.297323432,-0.12712156,-6.850714682
83,hopelessoptimism/data-engineering-101,Big data; Workshop,29,45,LDA,case framework solution great nice create people sort starting point ,file libpython luigi output learn work tool data write error ,material workshop thing package time online cool datum pipeline plan ,0.241573983,-0.019412685,-0.026689053,-2.217218941
84,hopelessoptimism/data-engineering-101,Big data; Workshop,29,744,PTM,file libpython package jonathan write pip install requirementstxt fail find ,material case luigi solution output time learn plan airflow nice ,workshop thing framework great online datum pipeline sort tool starting ,0.12135297,-0.084218522,-0.056423292,-2.625711275
85,Hotel-Reservation-Project/requirements,Coding,65,"53,746",GPU-PDMM,diagram dfd ect png sdp srs good acd function chatter ,project card credit create class requirement need info invalid point ,scenario case room customer employee work call team lead specific ,0.270678783,-0.144569598,-0.054975276,-4.828640455
86,Hotel-Reservation-Project/requirements,Coding,65,77,LDA,diagram case scenario function class dfd input update capture specific ,project work srs create team lead post requirement need hotel ,scenario room good customer card employee call credit deal info ,0.381493781,0.088148193,-0.011678683,-2.775529368
87,Hotel-Reservation-Project/requirements,Coding,65,1649,PTM,room good customer project function dfd team lead post deal ,diagram case employee work srs class create hotel specific invalid ,scenario card call credit requirement input info point person acd ,0.279496299,-0.079767673,-0.06818582,-3.384489557
88,IanLunn/Hover,Graphical user interface; Web development,50,"27,808",GPU-PDMM,click color plugin css animations bootstrap pseudo format online app ,img image integrate awesome element css twitter follower lunn bootstrap ,class button hovercss underline drop stay work send future check ,0.117191913,-0.196003126,-0.095818788,-4.508731932
89,IanLunn/Hover,Graphical user interface; Web development,50,36,LDA,color change add background image button plan version pull cool ,hovercss css hover question awesome animation effect apply img element ,class click button work keep remove drop underline stay set ,0.272681882,-0.019078514,-0.041945908,-2.575440574
90,IanLunn/Hover,Graphical user interface; Web development,50,599,PTM,hovercss hover change animation image send sparkle version fully pseudo ,class button question stay set active effect apply animations stick ,color work click css add background awesome keep remove drop ,0.185240328,-0.042534803,-0.028098723,-2.46335256
91,iluwatar/java-design-patterns,Patterns,"1,330","727,057",GPU-PDMM,pattern issue work class good design create java add implement ,project code file error maven build github website change commit ,implementation object request pull return builder point service interface case ,0.44075897,0.145824161,-0.001283154,-2.415967938
92,iluwatar/java-design-patterns,Patterns,"1,330","1,030",LDA,test object error maven build problem project return import jdk ,pattern class code diagram implementation design add uml implement good ,issue pattern project work good contribute java start great read ,0.381989647,0.114537629,-0.005411273,-2.726548846
93,iluwatar/java-design-patterns,Patterns,"1,330",27916,PTM,pattern project design java implement time contribute start read good ,work test problem great project update object error maven build ,issue class create add diagram code file good find question ,0.46507041,0.08213888,-0.003947777,-2.22344399
94,intercooler-js/Lobby,Web development,"2,288","1,005,375",GPU-PDMM,work request event form jquery button trigger code server add ,element html div thing attribute target ajax url link click ,intercooler response function error return header problem post stuff set ,0.296547903,0.040146575,-0.053737171,-3.244818066
95,intercooler-js/Lobby,Web development,"2,288","1,344",LDA,work event element button request attribute intercooler handler thing add ,intercooler work jquery good zepto test great intercoolerjs code pretty ,form response request element div intercooler html trigger event return ,0.161243071,-0.188625202,-0.070100513,-4.79684838
96,intercooler-js/Lobby,Web development,"2,288",41898,PTM,element form button response event html div trigger add target ,intercooler request server ajax update post include message url user ,work intercooler jquery code thing problem stuff event time good ,0.337225149,0.021544366,-0.030225906,-3.297131166
97,andreis/interview,Jobs,96,"56,326",GPU-PDMM,python great language cse undergrad backend build online project complete ,interview question code experience google practice level answer crack career ,link big feel check start good free company find peer ,0.32803596,0.027018514,-0.044769694,-2.95841098
98,andreis/interview,Jobs,96,80,LDA,interview question code python language google company experience build online ,feel good practice free send great resource video find repo ,link check start complete learn app regextutorial cool contribute add ,0.320269242,0.032057295,-0.024943773,-2.348268822
99,andreis/interview,Jobs,96,1752,PTM,python language google good practice build book send learn peer ,interview link company feel check project complete free cool resource ,question code great experience big start online level find time ,0.519401985,0.069391052,0.00026466,-1.935468882
100,jenkinsci/configuration-as-code-plugin,Software maintenance; Continuous integration,"9,408","5,412,646",GPU-PDMM,plugin work jcasc issue credential test release configure export info ,jenkin file yaml casc config time set find thing problem ,jenkins configuration job error code secret docker script build pipeline ,0.148595126,-0.188230644,-0.105283071,-3.98075104
101,jenkinsci/configuration-as-code-plugin,Software maintenance; Continuous integration,"9,408","7,128",LDA,issue release plugin work time jcasc good meeting nice week ,plugin work jcasc jenkin job file configuration casc yaml config ,error file jenkins secret info credential jenkin class configuration fail ,0.091644199,-0.260831,-0.084807841,-5.220878289
102,jenkinsci/configuration-as-code-plugin,Software maintenance; Continuous integration,"9,408",183970,PTM,plugin issue work release jcasc test time update good support ,plugin jenkin file jenkins credential configuration casc yaml job config ,error info class fail cause plugin false true java git ,0.177185622,-0.150123423,-0.078150576,-5.699196229
103,katalon-studio/Lobby,Software testing,"15,471","7,628,400",GPU-PDMM,test katalon error case work issue file script fail version ,import code time request record mobile response question solution string ,object element click variable project set create text problem step ,0.491188597,0.08499189,0.022098704,-1.969617534
104,katalon-studio/Lobby,Software testing,"15,471","10,586",LDA,test katalon case import variable file suite script issue create ,object element imagepng click text error work string fail xpath ,katalon error test version browser work chrome issue open info ,0.26949483,-0.057146741,-0.012297433,-2.229567759
105,katalon-studio/Lobby,Software testing,"15,471",304078,PTM,error info fail object unable element start test root source ,test case object import element variable click text request select ,katalon test work issue error file studio imagepng project version ,0.407505466,0.044430885,0.006391237,-1.95021548
106,kriasoft/universal-router,Web development,"1,031","705,315",GPU-PDMM,route path router action return work child await function pass ,component react error render server client async app user controlpanel ,import universalrouter code url history default query layout export match ,0.246695409,0.058690371,0.005465623,-2.85738771
107,kriasoft/universal-router,Web development,"1,031",968,LDA,router import component client universal react history server work link ,path route action return child router component function pass const ,route code component error return await app redirect react work ,0.244673197,0.039118584,-0.050261382,-2.946195284
108,kriasoft/universal-router,Web development,"1,031",28359,PTM,await component return app async state data code datum fetch ,path route action import return child component router function default ,router route work url error universalrouter server universal history code ,0.250266269,-0.013115675,-0.042901861,-3.544722573
109,laravel/laravel,Web development,"88,799","41,060,571",GPU-PDMM,nan work user error file request table code create problem ,laravel php app good thing project api start composer version ,return function model public query array datum test message null ,0.440916368,0.063403488,-0.009611735,-2.59529702
110,laravel/laravel,Web development,"88,799","57,445",LDA,laravel work good problem package time php app code thing ,nan file error php work laravel artisan server div command ,user return function model table method request public controller create ,0.363967612,-0.061686056,-0.023883817,-2.446611146
111,laravel/laravel,Web development,"88,799",1522071,PTM,nan laravel work file php problem error code issue good ,div function error php return echo input array true public ,user return function model table request method public controller query ,0.426716174,0.044799554,-0.007908538,-2.362386502
112,lightbend/config,Cloud computing; Software documentation; Software maintenance,"1,797","1,084,784",GPU-PDMM,issue code test set override object hocon typesafe default string ,config file load applicationconf configuration referenceconf classpath resolve property variable ,work library java path case key scala env value api ,0.195732267,-0.07454541,-0.029903621,-3.765453809
113,lightbend/config,Cloud computing; Software documentation; Software maintenance,"1,797","1,607",LDA,work issue hocon json library release path string config java ,config file load applicationconf library referenceconf classpath jar class sbt ,variable environment config env property work configuration file resolve object ,0.133715743,-0.075806977,-0.056407918,-3.639384652
114,lightbend/config,Cloud computing; Software documentation; Software maintenance,"1,797",46674,PTM,config code case configuration override key resolve variable environment default ,java issue work support hocon add json thing release list ,config file load library applicationconf referenceconf classpath path property typesafe ,0.302105552,0.012674135,-0.028741448,-3.054065965
115,locomotivecms/engine,Web development,"6,950","2,819,717",GPU-PDMM,work locomotive site content gem issue version create code rail ,wagon engine error add push time set deploy change problem ,file liquid image tag cache asset block backoffice url link ,0.329526926,0.051682773,-0.019837499,-3.388167008
116,locomotivecms/engine,Web development,"6,950","3,657",LDA,wagon engine gem work version locomotive rail site issue deploy ,content work site locomotive create issue type entry add cache ,file error image block push div call code method true ,0.389130325,0.080582568,-0.017377857,-2.562555099
117,locomotivecms/engine,Web development,"6,950",104513,PTM,content work file create add liquid type issue change image ,gem block div true push librubygem appweb false capture assign ,wagon engine work locomotive site version rail gem issue good ,0.387859779,0.040395881,-0.012202468,-2.040471235
118,lodash/lodash,Web development,"9,184","4,153,954",GPU-PDMM,object array work key map code value question find call ,lodash method true chain import filter thing false add build ,function return var result arr foo type javascript bar sort ,0.363793267,0.053464614,-0.002712989,-2.619700114
119,lodash/lodash,Web development,"9,184","6,192",LDA,lodash work issue version code build question method import lodashfp ,function object array lodash return map chain method call work ,return var object array true key function false item arr ,0.349015686,-0.013407976,0.002376504,-2.145242611
120,lodash/lodash,Web development,"9,184",181950,PTM,object function array return map key chain call lodash work ,var return true false arr function const key foo bar ,lodash work code version import issue thing lodashfp build method ,0.359409219,0.006121713,-0.011535093,-2.386368308
121,ManageIQ/manageiq,Cloud computing,"75,738","29,598,842",GPU-PDMM,work test error issue gem file start good fail manageiq ,thing time change code merge stuff day think type commit ,ruby method call worker require block case class table load ,0.420118958,0.076488188,-0.00260411,-2.021332641
