Number,Chat Room,Topic01,Topic02,Topic03,Themes,Number of docs used (before data pre-processing),Processing Time (milliseconds)
24,gitlabhq/gitlabhq,work runner build docker file job set image fail test ,gitlab server git repo install run version repository update host ,project issue error create user push branch problem merge request ,Software maintenance; Version control,"17,338","11,972,905"
25,gitterHQ/developers,code work question error learn file good project problem app ,web developer return git var api build number day install ,function create html add website css write change call class ,Coding,"41,983","20,673,712"
26,ethereum/go-ethereum,geth block node transaction sync start account address network gas ,contract error code call web function file question return change ,work ethereum issue test client thing version good build update ,Blockchain,"129,848","62,131,972"
27,gushphp/gush,git jira readme username clone oauth shebang gitter browser osx ,work bin gush github php user execute skype vagrant website ,gush good branch push invitation remote fetch gushphar nice job ,Software testing; Containers,113,"37,339"
28,hopelessoptimism/data-engineering-101,tool distribution pinball luigi datum request create material workflow cool ,file libpython repository csr folder filename arrays github repo excel ,case tho framework solution workshop great pandas forked time thing ,Big data; Workshop,29,"27,107"
29,Hotel-Reservation-Project/requirements,diagram dfd ect png sdp srs good acd function chatter ,project card credit create class requirement need info invalid point ,scenario case room customer employee work call team lead specific ,Coding,65,"53,746"
30,IanLunn/Hover,click color plugin css animations bootstrap pseudo format online app ,img image integrate awesome element css twitter follower lunn bootstrap ,class button hovercss underline drop stay work send future check ,Graphical user interface; Web development,50,"27,808"
31,iluwatar/java-design-patterns,pattern issue work class good design create java add implement ,project code file error maven build github website change commit ,implementation object request pull return builder point service interface case ,Patterns,"1,330","727,057"
32,intercooler-js/Lobby,work request event form jquery button trigger code server add ,element html div thing attribute target ajax url link click ,intercooler response function error return header problem post stuff set ,Web development,"2,288","1,005,375"
33,andreis/interview,python great language cse undergrad backend build online project complete ,interview question code experience google practice level answer crack career ,link big feel check start good free company find peer ,Jobs,96,"56,326"
34,jenkinsci/configuration-as-code-plugin,plugin work jcasc issue credential test release configure export info ,jenkin file yaml casc config time set find thing problem ,jenkins configuration job error code secret docker script build pipeline ,Software maintenance; Continuous integration,"9,408","5,412,646"
35,katalon-studio/Lobby,test katalon error case work issue file script fail version ,import code time request record mobile response question solution string ,object element click variable project set create text problem step ,Software testing,"15,471","7,628,400"
36,kriasoft/universal-router,route path router action return work child await function pass ,component react error render server client async app user controlpanel ,import universalrouter code url history default query layout export match ,Web development,"1,031","705,315"
37,laravel/laravel,nan work user error file request table code create problem ,laravel php app good thing project api start composer version ,return function model public query array datum test message null ,Web development,"88,799","41,060,571"
38,lightbend/config,issue code test set override object hocon typesafe default string ,config file load applicationconf configuration referenceconf classpath resolve property variable ,work library java path case key scala env value api ,Cloud computing; Software documentation; Software maintenance,"1,797","1,084,784"
39,locomotivecms/engine,work locomotive site content gem issue version create code rail ,wagon engine error add push time set deploy change problem ,file liquid image tag cache asset block backoffice url link ,Web development,"6,950","2,819,717"
40,lodash/lodash,object array work key map code value question find call ,lodash method true chain import filter thing false add build ,function return var result arr foo type javascript bar sort ,Web development,"9,184","4,153,954"
41,ManageIQ/manageiq,work test error issue gem file start good fail manageiq ,thing time change code merge stuff day think type commit ,ruby method call worker require block case class table load ,Cloud computing,"75,738","29,598,842"
42,ManageIQ/manageiq/ui,work issue test code thing change time merge good create ,add button provider call method set list case controller user ,error file install require include render place message info screen ,Graphical user interface; Cloud computing,"35,997","23,097,735"
43,google/material-design-lite,mdl work material design div code project css build support ,component thing good time stuff people start lot menu provide ,issue add element file button test grid user error input ,Graphical user interface,"7,518","6,584,520"
44,Mixer/developers,work channel user chat api error interactive send request button ,code oauth issue app server websocket find url json response ,beam thing stuff question java good python add bit node,Games development; Application programming interface,"46,128","34,409,240"
45,mochajs/mocha,mocha function file work error code return fail require promise ,test call run browser problem testing assertion start suite add ,reporter npm thing time check import expect output object app ,Software testing,"12,121","12,953,626"
46,MonoGame/MonoGame,monogame work game project build code support platform version good ,file content pipeline texture call render draw shader load type ,issue thing time stuff xna lot change class bit point ,Games development,"45,507","33,307,789"
47,Microsoft/mwt-ds,error azure change location feature list datum create custom interface ,code api access provide random type exploration base resource return ,service work decision reward learning time online thing client library ,[Machine learning] System; Software documentation,137,"119,152"
48,valor-software/ng2-bootstrap,bootstrap work modal component import angular npm problem module code ,issue template select update version chart table change beta set ,error div button find class directive public moment modaldirective function ,Graphical user interface,"2,451","1,996,994"
49,ngrx/store,state action store reducer component type export error function call ,work app ngrx thing angular time good route problem redux ,return change code issue map idea list form saga read ,Containers,"44,329","42,679,362"
50,lnug/london-node-jobs,nodejs people interested hire developer team senior email dev experience ,node react london talk graphql good challenge thing industry shop ,work lnug tonight chat engineer job feel free post link ,Jobs,79,"85,478"
51,numenta/public,nupic htm work time thing good code prediction problem file ,learn version build start algorithm test learning current system issue ,input column model layer datum cell sdr bit brain understand ,[Machine learning] Research; Coding,"21,494","15,552,519"
52,pattern-lab/node,work issue version node gulp lab npm project time good ,patternlab error engine template mustache change test start code atom ,pattern file build include plugin create add json problem folder ,Patterns,"5,797","5,414,976"
53,uttesh/pdfngreport,error file pdf stylesheet configurable xml debug xslt change maven ,report generate add xslvalueof fail problem work null release chart ,issue slash provide sample work path system code fine step ,Software testing,44,"35,917"
54,PerfectlySoft/PerfectDocs,doc work mysql awesome good sqlite issue jira httprequest document ,quickstart change server readme add link pull upstream update sense ,thing jira time error file start info good edit night ,Web development; Software documentation,240,"87,274"
55,python-babel/babel/maintenance-corner,eth testing mainnet real market reminder request day bca fed ,send account keth ether test kovan address github long support ,hour requested send add adb cad eec edd bef dbe ,Web development; Graphical user interface; Software maintenance,"136,163","68,954,942"
56,rchain/Releases,github docker file lefthand compiler sdk project helloworldrho layer algorithm ,release con development commit rchain month channel write pro number ,node code contract filename update rosette terminal pasting layer compiler ,Blockchain; Release,42,"28,944"
57,reactioncommerce/architecture,work meteor test snapshot implement open component time question admin ,product catalog collection order publish thing add package good storefront ,reaction graphql shop create api store client mutation provide current ,Patterns,140,"150,425"
58,reactor/reactor,flux thread work error request call code mono test block ,return subscribe public context java void null throw object class ,case reactor operator stream issue time event thing reactive publisher ,Web development,"38,024","35,642,328"
59,reactjs/redux,component react redux work app render code error question type ,state action store reducer call prop datum pass object change ,return function import dispatch user export route div class default ,Web development,"16,740","20,207,600"
60,researchgate/gradle-release,version plugin build project task file work fail subproject property ,release gradle commit tag snapshot create set false buildgradle command ,git jenkin push remote error branch origin master android credential ,Software deployment; Configuration management,576,"358,250"
61,robocomp/robocomp,robocomp start work installation install find osg instal ubuntu problem ,error fail file component rcmanager target command recipe directory rci ,gsoc project property year interested gitter warning deprecated student kharagpur ,Software maintenance,177,"118,047"
62,flajann2/rubyneat,rewrite alive reuse output kind hook fast rubyneat plan rust ,capture mind log lame ruby code alive reuse output interest ,format bandwidth mind rubyneat move rubyneatde site static simply work ,[Machine learning] System,10,"15,344"
63,jdubray/sam-architecture,action model view pattern function code proposal tla problem representation ,state redux nap reducer semantic sagas call update thunk render ,sam work time understand logic point case keep api application ,Patterns,556,"612,236"
64,scikit-learn/scikit-learn,work issue test good time scikitlearn model feature datum set ,code learn file cluster case import method sample list label ,python question sklearn thing bit release comment regression idea people ,[Machine learning] Libraries,"10,186","8,399,034"
65,semantic-release/semantic-release,release semanticrelease plugin version semantic npm commit git publish tag ,repo build packagejson package gitlab update script thing travis doc ,work issue create github change set project add token test ,Software deployment; Release,"4,868","4,290,050"
66,senecajs/seneca-in-practice,seneca system msg flow senecas guide great convert running refer ,service issue microservice user server find object run status doc ,error var fuge plugin exercice oisin nevermind overwrite cmd esh ,Microservices; Coding,76,"44,794"
67,milessabin/shapeless,type implicit case def class hlist val string hnil object ,work shapeless thing compile code time test good idea create ,scala problem find method compiler issue macro question add bit ,Back-end,"42,131","45,538,426"
68,simpleinvoices/simpleinvoices,php server apache debug online ubuntu github version work code ,fork code share accept invoice debug github repo user commit ,start glad test development support community bunch thing day late ,Web development,20,"17,230"
69,snipe/snipe-it,asset user error file snipeit php issue check install ldap ,work time table code script start app support migration exist ,add thing good model people company request system stuff search ,Web development,"72,178","51,350,210"
70,sourcejs/Source,spec file npm work source style issue update thing install ,code button html css release template include example error classbutton ,sourcejs plugin project component folder create setup user question middleware ,Graphical user interface,732,"591,275"
71,spring-cloud/spring-cloud-security,token server work user resource client authorization access issue code ,request app header application add bean bearer public return endpoint ,oauth spring zuul security authentication boot cloud session debug microservice ,Authentication; Distributed software development,"1,728","1,526,533"
72,spring-projects/spring-security,spring security request oauth work authentication filter server client issue ,token public return access class exception throw void configuration protect ,user login session set app application problem authenticate implement redirect ,Authentication,"7,945","9,404,721"
73,spring-projects/spring-security-oauth,token client user request access public code return create jwt ,oauth authentication endpoint session redirect application question test implement config ,server spring work security resource login app authorization boot problem ,Authentication,"5,708","6,282,094"
74,sorintlab/stolon,keeper error info master cmdkeepergo database file start stolonkeeper fail ,cluster sentinel etcd issue standby backup consul change check pod ,stolon work proxy stolonctl node problem command connection provide wale ,Cloud computing,"2,428","4,308,365"
75,survivejs/maintenance,good book chapter work site cool time idea thing bit ,code package pretty npm doc push style github case error ,issue project mrm problem tool understand solve open big task ,Software documentation; Software maintenance,"1,749","946,092"
76,thephpleague/tactician-bernard,receiver interface bus command consumer register bernard router middleware message ,command bit version getname samebusreceiver queuedcommand multiple queue wrapping method ,command middleware bernard overhead wrapper interface increase absolutely aware complex ,Service-oriented architecture,54,"24,011"
77,TestAndCode/Lobby,test podcast chris nejame kyle magocs fixture formartha dima spivak ,code work matt python rasband function thing call case def ,pytest brian okken file testing good moore lot start idea ,Testing; Coding,"5,500","8,879,475"
78,twbs/bootstrap,div work code css image link html add width problem ,bootstrap good project question website create file learn site start ,div class button element row column nav size form container,Graphical user interface; Mobile development,"17,296","12,502,524"
79,angular-ui/ui-router,work uirouter angular error route app module import parent issue ,resolve return function controller code promise true add type question ,state transition component url view hook param parameter load call ,Web development,"9,241","8,621,207"
80,username-availability-checker/Lobby,problem test check project work gsoc merge fail issue time ,request medium website error facebook profile status code return import ,version ios safari iphone chrome browser find feel bug file ,Authentication,351,"129,861"
81,vaadin/web-components,work vaadin component polymer vaadingrid style template issue add version ,grid row column item set change import property angular support ,element event file dom call function error release api module ,Web development; Front-end,"5,739","6,507,977"
82,vespa-engine/Lobby,vespa field node attribute cluster default search work content application ,query document rank type set tensor case add feature expression ,support question issue build create memory api file user state,Graphical user interface,"1,335","1,951,495"
83,webpack/webpack,webpack file module loader error build import config bundle plugin ,code issue problem project question thing function find time react ,work require load server change dependency dev jquery browser fine ,Build automation; Code quality,"109,604","103,735,806"
84,webpack/docs,webpack issue doc work code good site content point link ,github webpackdocs sokra update wiki push commit comment webpacknewdocs jhnns ,plugin loader file build error module script npm app import ,Build automation; Software documentation,938,"811,667"
85,webuildsg/live,question good morning hear nice people live time wave work ,web scala app gitter code podcast application iot website calendar ,year power security thing singapore long issue day computer podcast ,Graphical user interface; Workshop,"2,432","823,085"
86,CocoaPods/Xcodeproj,build set error project issue import bundle asset install file ,configure pod executable xcode jenkin lipo keychain framework binary firebase ,app ios keychain xcode lipo splash firebase directory binary configure ,Web development,15,"21,065"
87,robbyrussell/oh-my-zsh,theme ohmyzsh plugin zsh zshrc file issue problem bash export ,work command script code function font type find shell start ,git prompt ssh current column time fine version pull config ,Configuration management,308,"191,356"
